date,female,male,deaths
2018-01-01,1797,2572,4369
2018-02-01,1546,2052,3598
2018-03-01,1495,2012,3507
2018-04-01,1241,1772,3013
2018-05-01,1342,1930,3272
2018-06-01,1230,1818,3048
2018-07-01,1203,1729,2932
2018-08-01,1254,1734,2988
2018-09-01,1279,1763,3042
2018-10-01,1361,1954,3315
2018-11-01,1404,1851,3255
2018-12-01,1555,2239,3794
2019-01-01,1707,2283,3990
2019-02-01,1613,2181,3794
2019-03-01,1542,2159,3701
2019-04-01,1241,1768,3009
2019-05-01,1251,1770,3021
2019-06-01,1396,1889,3285
2019-07-01,1209,1736,2945
2019-08-01,1346,1830,3176
2019-09-01,1320,1854,3174
2019-10-01,1306,2024,3330
2019-11-01,1421,2074,3495
2019-12-01,1696,2354,4050
2020-01-01,1703,2386,4089
2020-02-01,1537,2005,3542
2020-03-01,1296,1879,3175
2020-04-01,1197,1707,2904
2020-05-01,1329,1767,3096
2020-06-01,1275,1778,3053
2020-07-01,1180,1802,2982
2020-08-01,1355,1923,3278
2020-09-01,1424,2106,3530
2020-10-01,1450,2215,3665
2020-11-01,1868,2779,4647
2020-12-01,1770,2685,4455
2021-01-01,1676,2202,3878
2021-02-01,1324,1891,3215
2021-03-01,1239,1812,3051
2021-04-01,1590,2179,3769
2021-05-01,3161,4106,7267
